2021-06-10 15:21:25,248---INFO---server.py---HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-06-10 15:21:25,249---INFO---server.py---Configuring endpoint tcp:port=8000:interface=127.0.0.1
2021-06-10 15:21:25,249---INFO---server.py---Listening on TCP address 127.0.0.1:8000
2021-06-10 15:21:43,824---DEBUG---http_protocol.py---HTTP b'GET' request for ['127.0.0.1', 59878]
2021-06-10 15:21:43,912---DEBUG---http_protocol.py---HTTP 200 response started for ['127.0.0.1', 59878]
2021-06-10 15:21:43,912---DEBUG---http_protocol.py---HTTP close for ['127.0.0.1', 59878]
2021-06-10 15:21:43,912---DEBUG---http_protocol.py---HTTP response complete for ['127.0.0.1', 59878]
2021-06-10 15:21:43,912---INFO---runserver.py---[mHTTP GET /delete-camera/48 200 [0.09, 127.0.0.1:59878][0m
2021-06-10 15:21:53,581---DEBUG---http_protocol.py---HTTP b'GET' request for ['127.0.0.1', 59878]
2021-06-10 15:21:53,619---DEBUG---http_protocol.py---HTTP 200 response started for ['127.0.0.1', 59878]
2021-06-10 15:21:53,619---DEBUG---http_protocol.py---HTTP close for ['127.0.0.1', 59878]
2021-06-10 15:21:53,619---DEBUG---http_protocol.py---HTTP response complete for ['127.0.0.1', 59878]
2021-06-10 15:21:53,619---INFO---runserver.py---[mHTTP GET /delete-camera/42 200 [0.04, 127.0.0.1:59878][0m
